United States;USA;0.32725993813587
Brazil;BRA;0.210155965359977
Mexico;MEX;0.12747488469652
Colombia;COL;0.0503075480227324
Argentina;ARG;0.0446847363867269
Canada;CAN;0.0373153959517819
Peru;PER;0.0325990346834562
Venezuela;VEN;0.0281144091659716
Chile;CHI;0.0189000503100287
Guatemala;GUA;0.0177129931063572
Ecuador;ECU;0.0174435604764018
Bolivia;BOL;0.0115410318279255
Cuba;CUBA;0.0111985436982157
Dominican Republic;DRE;0.0107252505222488
Honduras;HON;0.00979261363704336
Paraguay;PAR;0.00705188897303346
Nicaragua;NIC;0.00654964884924058
El Salvador;ESA;0.00641286418892328
Costa Rica;CRI;0.00503651779374064
Panama;PAN;0.00426597907063498
Uruguay;URU;0.00343445184341051
Jamaica;JAM;0.00292768449528212
Puerto Rico;PRI;0.00282850476564859
Trinidad and Tobago;TAT;0.0013836637106024
Guyana;GUY;0.000777658299965231
Suriname;SUR;0.000579998835201237
Guadeloupe;GUA;0.000395599718283455
Belize;BEL;0.000393131941052308
Bahamas;BAH;0.000388797511812986
Martinique;MAR;0.000371021803944879
French Guiana;FGU;0.000295304743170465
Barbados;BAR;0.000284125593670232
Saint Lucia;SLU;0.000181550692958273
Curazao;CUR;0.000162237567784704
Grenada;GRE;0.000111250680040211
St. Vincent & Grenadines;SVG;0.000109692500185929
Aruba;ARU;0.000105558775585197
U.S. Virgin Islands;VIS;0.000103244245738196
Antigua and Barbuda;AAB;0.0000968216973032872
Dominica;DOM;0.0000711720399684918
Cayman Islands;CIS;0.0000649788682634015
Bermuda;BER;0.0000615738102569629
Greenland;GRE;0.000057097009254305
Saint Kitts & Nevis;SKN;0.0000525974683172255
Sint Maarten;SMA;0.0000423911925331183
Turks and Caicos;TAC;0.0000382792191740074
Saint Martin;SMA;0.0000382287958411594
British Virgin Islands;BVI;0.0000298891720652276
Caribbean Netherlands;CNE;0.0000259264913190587
Anguilla;ANG;0.000014833358092508
Saint Barthelemy;SBA;0.0000097653187948878
Saint Helena;SHE;0.00000601
Saint Pierre & Miquelon;SPM;0.00000573
Montserrat;MON;0.00000494
Falkland Islands;FIS;0.00000344
